Station;Latitude (N);Longitude (E);date;Tmean (°C);Salinity PSU;N2O (nM);NH4 (µmol/L);NOx (µmol/L);O2 dissous winkler (mg/L);method
S01;51,41603333;3,583233333;10-03-2023;7;27,81;15,23;5,98;104,17;7,46;CTD Niskin bottle
S01B;51,41591667;3,571033333;11-03-2023;6,9;29,7;18,03;4,97;61,85;7,12;CTD Niskin bottle
S04;51,34441667;3,846533333;10-03-2023;6,89;22,38;19,4;5,72;133,47;7,79;seawater tap
S09;51,3716;4,082783333;11-03-2023;7,29;11,04;27,88;5,61;231,12;7,31;CTD Niskin bottle
S12;51,364;4,225633333;11-03-2023;7,58;6,64;33,88;24,47;274,7;7;CTD Niskin bottle
S15;51,31241667;4,272633333;10-03-2023;7,59;8,89;29,41;10,38;259,63;7,17;seawater tap
S15B;51,32403333;4,274983333;11-03-2023;7,26;3,79;40,29;15,41;291,45;6,48;CTD Niskin bottle
S22;51,22063333;4,392816667;10-03-2023;7,21;3,61;43,58;19,97;296,48;6,92;seawater tap
S22B;51,21626667;4,389483333;11-03-2023;7,06;0,49;74,4;44,61;321,6;5,76;CTD Niskin bottle
T01;51,3729;4,144216667;10-03-2023;7,64;8,04;22,37;9,8;211,05;7,35;seawater tap
T02;51,34063333;4,269416667;10-03-2023;7,64;8,05;-999;16;87,1;7,34;seawater tap
T04;51,42988333;3,968566667;11-03-2023;6,71;16,17;22,43;8,95;179,04;7,24;seawater tap
T05;51,3989;3,951933333;11-03-2023;6,6;18,77;-999;7,94;157,88;7,29;seawater tap
T06;51,3527;3,8738;11-03-2023;6,66;20,72;23;7,78;139,98;7,22;seawater tap
T07;51,36801667;3,7496;11-03-2023;6,82;24,48;20,71;-999;110,68;7;seawater tap
