fid,Station,Latitude (N),Longitude (E),Tmean (°C),Salinity PSU,N2O (nM),NH4 (µmol/L),NOx (µmol/L),O2 dissous winkler (mg/L),id,naam,km_afstand,n,distance,feature_x,feature_y,nearest_x,nearest_y
"1",S01,"51,41603333",3.583233333,7,27.81,15.23,5.98,104.17,7.46,"0",,"1","1",0.000321737674735382,3.583233333,51.41603333,3.58291265769937,51.4160594543739
"2",S01B,"51,41591667",3.571033333,6.9,29.7,18.03,4.97,61.85,7.12,"0",,"0","1",0.00226334930734757,3.571033333,51.41591667,3.56877140953519,51.4159969963742
"3",T02,"51,34063333",4.269416667,7.64,8.05,-999,16,87.1,7.34,"0",z29,"58","1",0.00133006358893544,4.269416667,51.34063333,4.26997375305812,51.339425553417
"4",S04,"51,34441667",3.846533333,6.89,22.38,19.4,5.72,133.47,7.79,"0",z10,"20","1",0.00908510022459483,3.846533333,51.34441667,3.83749352972142,51.3435105779652
"5",T04,"51,42988333",3.968566667,6.71,16.17,22.43,8.95,179.04,7.24,"0",u16,"33","1",0.00153451286006713,3.968566667,51.42988333,3.97007962555541,51.4301396230497
"6",T05,"51,3989",3.951933333,6.6,18.77,-999,7.94,157.88,7.29,"0",u14,"29","1",0.00282728787174949,3.951933333,51.3989,3.95251833532602,51.4016661035751
"7",S09,"51,3716",4.082783333,7.29,11.04,27.88,5.61,231.12,7.31,"0",u21,"43","1",0.00511837532917726,4.082783333,51.3716,4.08764282801868,51.369992805496
"8",S12,"51,364",4.225633333,7.58,6.64,33.88,24.47,274.7,7,"0",z27,"54","1",0.00034034673160515,4.225633333,51.364,4.22550920085182,51.3643169023627
"9",S15,"51,31241667",4.272633333,7.59,8.89,29.41,10.38,259.63,7.17,"0",u30,"61","1",0.000505299221882662,4.272633333,51.31241667,4.27260532982041,51.312921192671
"10",S15B,"51,32403333",4.274983333,7.26,3.79,40.29,15.41,291.45,6.48,"0",z30,"60","1",0.00215442771847346,4.274983333,51.32403333,4.27505053204468,51.3218799505438
"11",S22,"51,22063333",4.392816667,7.21,3.61,43.58,19.97,296.48,6.92,"0",z39,"78","1",0.00091589182068621,4.392816667,51.22063333,4.3929462721683,51.2215400054257
"12",S22B,"51,21626667",4.389483333,7.06,0.49,74.4,44.61,321.6,5.76,"0",u39,"79","1",0.00410592729867249,4.389483333,51.21626667,4.38776487537168,51.212537656409
"13",T01,"51,3729",4.144216667,7.64,8.04,22.37,9.8,211.05,7.35,"0",z23,"46","1",0.00675777068165789,4.144216667,51.3729,4.1374675373575,51.3725583661981
"14",T06,"51,3527",3.8738,6.66,20.72,23,7.78,139.98,7.22,"0",z11,"22","1",0.00268946667848227,3.8738,51.3527,3.87135085126017,51.3515887387954
"15",T07,"51,36801667",3.7496,6.82,24.48,20.71,-999,110.68,7,"0",z7,"14","1",0.00244832497459349,3.7496,51.36801667,3.7475451841197,51.3693478449995
